unit,sizen_r2,indic_is,geo\time	2016 	2015 	2014 
PC_ENT,10_C10_18,E_CC_HI,ES	6 	5 	5 
PC_ENT,10_C10_18,E_CC_HI,EU15	8 	: 	7 
PC_ENT,10_C10_18,E_CC_HI,EU27	7 	: 	6 
PC_ENT,10_C10_18,E_CC_HI,EU28	7 	: 	6 
PC_ENT,10_C10_18,E_CC_HI,FI	28 	21 	19 
PC_ENT,10_C10_18,E_CC_HI,FR	6 	: 	2 
PC_ENT,10_C10_18,E_CC_HI,HR	10 	10 	11 
PC_ENT,10_C10_18,E_CC_HI,HU	4 	5 	2 
PC_ENT,10_C10_18,E_CC_HI,IE	17 	10 	9 
PC_ENT,10_C10_18,E_CC_HI,IS	: 	: 	31 
PC_ENT,10_C10_18,E_CC_HI,IT	4 b	: 	14 
PC_ENT,10_C10_18,E_CC_HI,LT	8 	9 	5 
PC_ENT,10_C10_18,E_CC_HI,LU	9 	: 	4 
PC_ENT,10_C10_18,E_CC_HI,LV	3 	3 	2 
PC_ENT,10_C10_18,E_CC_HI,MK	2 	: 	6 
PC_ENT,10_C10_18,E_CC_HI,MT	7 	: 	5 
PC_ENT,10_C10_18,E_CC_HI,NL	17 	: 	14 
PC_ENT,10_C10_18,E_CC_HI,NO	22 	13 	11 
PC_ENT,10_C10_18,E_CC_HI,PL	2 	2 	1 
PC_ENT,10_C10_18,E_CC_HI,PT	5 	: 	4 
PC_ENT,10_C10_18,E_CC_HI,RO	4 	2 	2 
PC_ENT,10_C10_18,E_CC_HI,RS	: 	: 	0 n
PC_ENT,10_C10_18,E_CC_HI,SE	21 	: 	13 
PC_ENT,10_C10_18,E_CC_HI,SI	6 	8 	1 
PC_ENT,10_C10_18,E_CC_HI,SK	11 	13 	7 
PC_ENT,10_C10_18,E_CC_HI,UK	20 	: 	8 
PC_ENT,10_C10_18,E_CC_LO,AT	7 	: 	3 
PC_ENT,10_C10_18,E_CC_LO,BE	7 	5 	8 
PC_ENT,10_C10_18,E_CC_LO,BG	1 	1 	1 
PC_ENT,10_C10_18,E_CC_LO,CY	3 	3 	4 
PC_ENT,10_C10_18,E_CC_LO,CZ	7 	: 	8 
PC_ENT,10_C10_18,E_CC_LO,DE	: u	: 	: u
PC_ENT,10_C10_18,E_CC_LO,DK	16 	9 	9 
PC_ENT,10_C10_18,E_CC_LO,EA	6 	: 	8 
PC_ENT,10_C10_18,E_CC_LO,EE	5 	: 	3 
PC_ENT,10_C10_18,E_CC_LO,EL	3 	2 	: u
PC_ENT,10_C10_18,E_CC_LO,ES	7 	3 	5 
PC_ENT,10_C10_18,E_CC_LO,EU15	7 	: 	8 
PC_ENT,10_C10_18,E_CC_LO,EU27	6 	: 	7 
PC_ENT,10_C10_18,E_CC_LO,EU28	6 	: 	7 
PC_ENT,10_C10_18,E_CC_LO,FI	15 	19 	14 
PC_ENT,10_C10_18,E_CC_LO,FR	4 	: 	2 
PC_ENT,10_C10_18,E_CC_LO,HR	4 	5 	6 
PC_ENT,10_C10_18,E_CC_LO,HU	4 	2 	2 
PC_ENT,10_C10_18,E_CC_LO,IE	13 	16 	15 
PC_ENT,10_C10_18,E_CC_LO,IS	: 	: 	7 
PC_ENT,10_C10_18,E_CC_LO,IT	9 b	: 	18 
PC_ENT,10_C10_18,E_CC_LO,LT	5 	4 	2 
PC_ENT,10_C10_18,E_CC_LO,LU	8 	: 	7 
PC_ENT,10_C10_18,E_CC_LO,LV	2 	2 	1 
PC_ENT,10_C10_18,E_CC_LO,MK	3 	: 	1 
PC_ENT,10_C10_18,E_CC_LO,MT	8 	: 	8 
PC_ENT,10_C10_18,E_CC_LO,NL	4 	: 	3 
PC_ENT,10_C10_18,E_CC_LO,NO	5 	9 	7 
PC_ENT,10_C10_18,E_CC_LO,PL	2 	1 	2 
PC_ENT,10_C10_18,E_CC_LO,PT	5 	: 	3 
PC_ENT,10_C10_18,E_CC_LO,RO	1 	2 	2 
PC_ENT,10_C10_18,E_CC_LO,RS	: 	: 	2 
PC_ENT,10_C10_18,E_CC_LO,SE	14 	: 	12 
PC_ENT,10_C10_18,E_CC_LO,SI	4 	5 	5 
PC_ENT,10_C10_18,E_CC_LO,SK	3 	8 	6 
PC_ENT,10_C10_18,E_CC_LO,UK	14 	: 	8 
PC_ENT,10_C10_18,E_CC_ME,AT	7 	: 	3 
PC_ENT,10_C10_18,E_CC_ME,BE	7 	7 	10 
PC_ENT,10_C10_18,E_CC_ME,BG	1 	1 	2 
PC_ENT,10_C10_18,E_CC_ME,CY	3 	3 	4 
PC_ENT,10_C10_18,E_CC_ME,CZ	7 	: 	9 
PC_ENT,10_C10_18,E_CC_ME,DE	: u	: 	: u
PC_ENT,10_C10_18,E_CC_ME,DK	18 	14 	11 
PC_ENT,10_C10_18,E_CC_ME,EA	9 	: 	10 
PC_ENT,10_C10_18,E_CC_ME,EE	6 	: 	4 
PC_ENT,10_C10_18,E_CC_ME,EL	4 	3 	: u
PC_ENT,10_C10_18,E_CC_ME,ES	10 	5 	7 
PC_ENT,10_C10_18,E_CC_ME,EU15	10 	: 	11 
